Req Number,Release 25 Requirement,Domain
1,The Department of State supports portfolio entities to achieve and maintain an acceptable level of protective security through advice and guidance on government security.,
2,The Accountable Authority complies with all Protective Security Directions.,
3,The Technical Authority Entity provides technical advice and guidance to support entities to achieve and maintain an acceptable level of protective security.,
4,The Shared Service Provider Entity supplies security services that help relevant entities achieve and maintain an acceptable level of security.,
5,"The Shared Service Provider Entity develops, implements and maintains documented responsibilities and accountabilities for partnerships or security service arrangements with other entities.",
6,The Accountable Authority is answerable to their minister for the entity s protective security.,
7,The Accountable Authority is responsible for managing the security risks of their entity.  ,
8,A Chief Security Officer is appointed and empowered to oversee the entity s protective security arrangements.,
9,"The Chief Security Officer is a Senior Executive Service officer  and holds a minimum security clearance of Negative Vetting 1.

Note: Where an entity has fewer than 100 employees the Accountable Authority may appoint their CSO at the Executive Level 2 (EL2), providing the EL2 reports directly to the Accountable Authority on security matters, and has the sufficient authority and capability to perform the responsibilities of the CSO role.",
10,The Chief Security Officer is accountable to the Accountable Authority for protective security matters.,
11,A Chief Information Security Officer is appointed to oversee the entity s cyber security program and the cyber security for the entity’s most critical technology resources .,
12,The Chief Information Security Officer has the appropriate capability and experience and holds a minimum security clearance of Negative Vetting 1.,
13,The Chief Information Security Officer is accountable to the Accountable Authority for cyber security risks and how the entity’s cyber security program is managing these risks.,
14,"Where appointed, security practitioners are appropriately skilled, empowered and resourced to perform their designated functions.",
15,"Where appointed, security practitioners have access to training across government to maintain and upskill on new and emerging security issues.",
16,"The Accountable Authority approves security governance arrangements that are tailored to the entity’s size, complexity and risk environment.",
17,A dedicated security email address is established and monitored as the central conduit for distribution of protective security-related information across the entity.,
18,"A security plan is developed, implemented and maintained to address the mandatory elements of the plan.",
19,The Accountable Authority approves the entity s security plan.,
20,"The security plan is considered annually and reviewed at least every two years to confirm its adequacy and ability to adapt to shifts in the entity s risk, threat or operating environment.",
21,"Procedures are developed, implemented and maintained to ensure all elements of the entity’s security plan are achieved.",
22,"Develop, establish and implement security monitoring arrangements to identify the effectiveness of the entity’s security plan and establish a continuous cycle of improvement.",
23,"The Accountable Authority and Chief Security Officer develop, implement and maintain a program to foster a positive security culture in the entity and support the secure delivery of government business.",
24,"Security awareness training is provided to personnel, including contractors, at engagement and annually thereafter.",
25,"Targeted security training is provided to personnel, including contractors, in specialist or high-risk positions.",
26,"Procedures are developed, implemented and maintained to ensure security incidents are responded to and managed.",
27,Security incident management and response plans are incorporated into the entity’s business continuity arrangements.,
28,Significant or externally reportable security incidents and referral obligations are reported to the relevant authority (or authorities) within the applicable timeframe.,
29,"Procedures are developed, implemented and maintained to investigate security incidents in accordance with the principles of the Australian Government Investigations Standards.",
30,"The principles of procedural fairness are applied to all security investigations, with due regard to national security considerations",
31,The annual protective security report is provided to the entity’s Minister.,
32,The annual protective security report is submitted to the Department of Home Affairs.,
33,The Accountable Authority approves the entity’s annual protective security report and confirms that they have verified the report’s content.,
34,Entities cooperate with the Department of Home Affairs’ assurance activities to review annual protective security reports.,
35,The annual Cyber Security Survey is submitted to the Australian Signals Directorate.,
36,The Accountable Authority determines their entity’s tolerance for security risks and documents in the security plan.,
37,"A risk steward (or manager) is identified for each security risk or category of security risk, including shared risks.",
38,"The Accountable Authority considers the impact that their security risk management decisions could potentially have on other entities, and shares information on risks where appropriate.",
39,The entity is accountable for the management of security risks arising from procuring goods and services and ensures procurement and contract decisions do not expose the entity or the Australian Government to an unacceptable level of risk.,
40,"Procurement, contracts and third-party outsourced arrangements contain proportionate security terms and conditions to ensure service providers, contractors and subcontractors comply with relevant PSPF Requirements and avoid exposing the entity or the Australian Government to an unacceptable level of risk.",
41,"Entity ensures service providers, contractors and subcontractors comply with relevant PSPF Requirements as detailed by the entity.",
42,"Contractual security terms and conditions require service providers to report any actual or suspected security incidents to the entity, and follow reasonable direction from the entity arising from incident investigations.",
43,"Government entities providing outsourced services provide IRAP assessment reports to the government entities consuming, or looking to consume, their services.",
44,"Contract security terms and conditions are monitored and reviewed to ensure the specified security controls, terms and conditions are implemented, operated and maintained by the contracted provider, including any subcontractors, over the life of a contract.",
45,Contractual terms and conditions include appropriate security arrangements for the completion or termination of the contract.,
46,"Procurement and contract decisions consider the security risks before engaging providers operating under foreign ownership, control or influence, and in response to any developments during the contract period that may give rise to foreign ownership, control or influence risks.",
47,"Security risks arising from contractual arrangements for the provision of goods and services are managed, reassessed and adjusted over the life of a contract.",
48,"Secure and verifiable third-party vendors, providers, partners and associated services are used unless business operations require use, and the residual risks are managed and approved by the Chief Information Security Officer",
49,Entities manage the security risks associated with engaging with foreign partners.,
50,"Personnel do not publicise their security clearance level on social media platforms, including employment-focused platforms such as LinkedIn.",
51,"An insider threat program is implemented by entities that manage Baseline to Positive Vetting security clearance subjects, to manage the risk of insider threat in the entity.",
52,"Where exceptional circumstances prevent or affect an entity’s capability to implement a PSPF requirement or standard, the Accountable Authority may vary application, for a limited period of time, consistent with the entity’s risk tolerance.",
53,Decisions to vary implementation of a PSPF requirement or standard due to exceptional circumstances are documented in the entity s security plan.,
54,Decisions to implement an alternative mitigation measure that meets or exceeds a PSPF requirement or standard are reviewed and reported annually.,
55,"A business continuity plan is developed, implemented and maintained to respond effectively and minimise the impacts of significant business disruptions to the entity’s critical services and assets, and other services and assets when warranted by a threat and security risk assessment.",
56,Plans for managing a broad range of emergencies are integrated within the business continuity plan.,
57,Personnel who are likely to be impacted are notified if there is a heightened risk of an emergency.,
58,"The originator remains responsible for controlling the sanitisation, reclassification or declassification of official and security classified information, and approves any changes to the information’s security classification.",
59,"The value, importance or sensitivity of official information (intended for use as an official record) is assessed by the originator by considering the potential damage to the government, the national interest, organisations or individuals that would arise if the information’s confidentiality were compromised.",
60,The security classification is set at the lowest reasonable level.,
61,"Security classified information is clearly marked with the applicable security classification, and when relevant, security caveat, by using text-based markings, unless impractical for operational reasons.",
62,The minimum protections and handling requirements are applied to protect OFFICIAL and security classified information.,
63,The Australian Government Security Caveat Standard and special handling requirements imposed by the controlling authority are applied to protect security caveated information.,
64,Security caveats are clearly marked as text and only appear in conjunction with a security classification.,
65,Accountable material has page and reference numbering.,
66,Accountable material is handled in accordance with any special handling requirements imposed by the originator and security caveat owner detailed in the Australian Government Security Caveat Standard.,
67,"The Australian Government Email Protective Marking Standard is applied to protect OFFICIAL and security classified information exchanged by email in and between Australian Government entities, including other authorised parties.",
68,"The Australian Government Recordkeeping Metadata Standard’s  Security Classification  property (and where relevant, the  Security Caveat  property) is applied to protectively mark information on technology systems that store, process or communicate security classified information.",
69,Apply the Australian Government Recordkeeping Metadata Standard’s ‘Rights’ property where the entity wishes to categorise information content by the type of restrictions on access.,
70,Security classified discussions and dissemination of security classified information are only conducted in approved locations.,
71,"Entity implements operational controls for its information holdings that are proportional to their value, importance and sensitivity.",
72,An auditable register is maintained for TOP SECRET information and accountable material.,
73,"OFFICIAL and security classified information is disposed of securely in accordance with the Minimum Protections and Handling Requirements, Information Security Manual, the Records Authorities, a Normal Administrative Practice and the Archives Act 1983.",
74,Security classified information is appropriately destroyed in accordance with the Minimum Protections and Handling Requirements when it has passed the minimum retention requirements or reaches authorised destruction dates.,
75,"Access to security classified information or resources is only provided to people outside the entity with the appropriate security clearance (where required) and a need-to-know, and is transferred in accordance with the Minimum Protections and Handling Requirements",
76,"The Memorandum of Understanding between the Commonwealth, States and Territories is applied when sharing information with state and territory government agencies.",
77,"An agreement or arrangement, such as a contract or deed, that establishes handling requirements and protections, is in place before security classified information or resources are disclosed or shared with a person or organisation outside of government, unless the entity is returning or responding to information provided by a person or organisation outside of government, or their authorised representative, which the government entity subsequently classified as OFFICIAL: Sensitive.",
78,"Provisions are met concerning the security of people, information and resources contained in international agreements and arrangements to which Australia is a party.",
79,"Australian Government security classified information or resources shared with a foreign entity is protected by an explicit legislative provision, international agreement or international arrangement.",
80,"Australian Government security classified information or resources bearing the Australian Eyes Only (AUSTEO) caveat is never shared with a person who is not an Australian citizen, even when an international agreement or international arrangement is in place, unless an exemption is granted.",
81,"Australian Government security classified information or resources bearing the Australian Government Access Only (AGAO) caveat is not shared with a person who is not an Australia citizen, even when an international agreement or international arrangement is in place, unless they are working for, or seconded to, an entity that is a member of National Intelligence Community, the Department of Defence or the Australian Submarine Agency.",
82,"Where an international agreement or international arrangement is in place, security classified foreign entity information or resources are safeguarded in accordance with the provisions set out in the agreement or arrangement.",
83,"Australian Government security classified information or resources shared with a foreign non-government stakeholder is protected by an explicit legislative provision, international agreement or international arrangement.",
84,The Australian Signals Directorate’s Information Security Manual cyber security principles are applied during all stages of the lifecycle of each system,
85,The Australian Signals Directorate’s Information Security Manual controls and cyber security guidelines are applied on a risk-based approach.,
211,A Technology Asset Stocktake and Technology Security Risk Management Plan is created to identify and manage the entity s internet-facing systems or services is maintained to ensure continuous visibility and monitoring of the entity’s resource and technology estate.,
86,"The Authorising Officer authorises each technology system to operate based on the acceptance of the residual security risks associated with its operation before that system processes, stores or communicates government information or data.",
87,Decisions to authorise (or reauthorise) a new technology system or make changes to an existing technology system are based on the Information Security Manual s risk-based approach to cyber security.,
88,"The technology system is authorised to the highest security classification of the information and data it will process, store or communicate.",
89,"A register of the entity’s authorised technology systems is developed, implemented and maintained, and includes the name and position of the Authorising Officer, system owner, date of authorisation, and any decisions to accept residual security risks.",
90,"Each technology system s suitability to be authorised to operate is reassessed when it undergoes significant functionality or architectural change, or where the system s security environment has changed considerably.",
91,"The TikTok application is prevented from being installed, and existing instances are removed, on government devices, unless a legitimate business reason exists which necessitates the installation or ongoing presence of the application.",
92,"The Chief Security Officer or Chief Information Security Officer approves any legitimate business reason for the use of the TikTok application on government devices and ensures the following mitigations are in place to manage security risks: 
• Ensure the TikTok application is installed and accessed only on a separate, standalone device without access to services that process or access official and classified information. 
• Ensure the separate, standalone device is appropriately stored and secured when not in use. This includes the isolation of these devices from sensitive conversations and information. 
• Ensure metadata has been removed from photos, videos and documents when uploading any content to TikTok. 
• Minimise, where possible, the sharing of personal identifying content on the TikTok application. 
• Use an official generic email address (for example, a group mailbox) for each TikTok account. 
• Use multi-factor authentication and unique passphrases for each TikTok account. 
• Ensure that devices that access the TikTok application are using the latest available operating system in order to control individual mobile application permissions. Regularly check for and update the application to ensure the latest version is used. 
• Only install the TikTok application from trusted stores such as Microsoft Store, Google Play Store and the Apple App Store.
• Ensure only authorised users have access to corporate TikTok accounts and that access (either direct or delegated) is revoked immediately when there is no longer a requirement for that access.
• Carefully and regularly review the terms and conditions, as well as application permissions with each update, to ensure appropriate risk management controls can be put in place or adjusted as required.
• Delete the TikTok application from devices when access is no longer needed.",
93,The Australian Signals Directorate’s temporary mitigations for legacy IT are applied to manage legacy information technology that cannot yet be replaced.,
94,"Technology assets and their components, classified as SECRET or below are stored in the appropriate Security Zone based on their aggregated security classification or business impact level.",
95,Technology assets and their components classified as TOP SECRET are stored in suitable SCEC-endorsed racks or compartments within an accredited Security Zone Five area meeting ASIO Technical Note 5/12 – Compartments within Zone Five areas requirements.,
96,Outsourced facilities that house technology assets and their components with a catastrophic business impact level are certified by ASIO-T4 physical security and accredited by ASD before they are used operationally.,
97,Technology assets are disposed of securely in accordance with the Information Security Manual.,
212,Approved post-quantum cryptographic encryption algorithms are used for newly procured cryptographic equipment and software in accordance with the Information Security Manual’s guidelines for cryptography.,
98,"A cyber security strategy and uplift plan is developed, implemented and maintained to manage the entity s cyber security risks in accordance with the Information Security Manual and the Guiding Principles to Embed a Zero Trust Culture.",
213,The Chief Information Security Officer reports on the entity’s cyber security risk at each meeting of the Audit Committee and biannually on the progress of the cyber security strategy and uplift plan.,
99,Patch applications mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
100,Patch operating systems mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
101,Multi-factor authentication mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
102,Restrict administrative privileges mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
103,Application control mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
104,Restrict Microsoft Office macros mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
105,User application hardening mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
106,Regular back-ups mitigation strategy is implemented to Maturity Level Two under ASD’s Essential Eight Maturity Model.,
107,"The remaining mitigation strategies from the Strategies to Mitigate Cyber Security Incidents are considered and, where required, implemented to achieve an acceptable level of residual risk for their entity.",
108,A Protective Domain Name System service or other security mechanisms is used to prevent connections to and from known malicious endpoints.,
109,Cloud Service Providers that have completed an IRAP assessment against the latest version of ASD’s Information Security Manual within the previous 24 months are used.,
110,"Entities consider IRAP assessment recommendations and findings, and implement on a risk-based approach.",
111,Security classified or systems of government significance information and data is securely hosted using a Cloud Service Provider and Data Centre Provider that has been certified against the Australian Government Hosting Certification Framework.,
112,The Data Centre Facilities Supplies Panel is used when procuring certified data centre space and services.,
113,"Internet-connected technology systems, and the data they process, store or communicate, are protected by a gateway in accordance with the Information Security Manual and the Gateways Policy.",
214,"Digital Infrastructure that processes, stores or communicates Australian Government security classified information is protected by a Gateway or Security Service Edge in accordance with the Australian Government Gateway Security Standard.",
114,Gateways or Secure Service Edges that have completed an IRAP assessment (or ASD assessment for TOP SECRET gateways) against the latest version of ASD’s Information Security Manual within the previous 24 months are used.,
115,"A vulnerability disclosure program and supporting processes and procedures are established to receive, verify, resolve and report on vulnerabilities disclosed by both internal and external sources.",
215,Participate in the Australian Signals Directorate’s Cyber Security Partnership Program and notify ASD in the event of a change in the entity s risk profile.,
216,Connect to the Australian Signals Directorate’s Cyber Threat Intelligence Sharing platform.,
217,Declared Systems of Government Significance are protected in accordance with the Australian Government Systems of Government Significance Standard. ,
116,The eligibility and suitability of personnel who have access to Australian Government people and resources is ensured.,PER
117,"The pre-employment screening identity check is conducted for all personnel, to verify identity to at least Level 3 (High) of Assurance of the National Identity Proofing Guidelines.",PER
118,Biographic information in identity documents is verified to ensure the information matches the original record.,PER
119,"The pre-employment screening eligibility check is conducted for all personnel, to confirm their eligibility to work in Australia and for the Australian Government.  ",PER
120,"The entity obtains assurance of each person’s suitability to access Australian Government resources, including their agreement to comply with the government’s policies, standards, protocols and guidelines that safeguard resources from harm, during pre-employment screening.",PER
121,"Prior to granting temporary access to security classified information or resources, pre-employment checks are completed, and an existing Negative Vetting 1 security clearance is confirmed prior to granting temporary access to TOP SECRET information data or resources.",PER
122,A risk assessment determines whether a person is granted temporary access to security classified information or resources.,PER
123,"Temporary access to security classified information, resources and activities is supervised.",PER
124,"Short-term temporary access to security classified information, resources and activities is limited to the period in which an application for a security clearance is being processed for the particular person, or up to a total combined maximum of three months in a 12-month period  for all entities.
Note: 12-months refers to the preceding 12-months from the date the short-term access would be granted.",PER
125,"The Authorised Vetting Agency confirms that the completed security clearance pack has been received, and that no initial concerns have been identified for the clearance subject, before short-term temporary access is changed to provisional temporary access.",PER
126,"Temporary access to classified caveated information, resources or activities is not granted, other than in exceptional circumstances, and only with the approval of the caveat controlling authority.",PER
127,"Prior to granting temporary access, the entity obtains an undertaking from the person to protect the security classified information, resources and activities they will access.",PER
128,"Prior to granting temporary access, the entity obtains agreement from any other entity (or third party) whose security classified information, resources and activities will be accessed by the person during the temporary access period.",PER
129,Access to official information is facilitated for entity personnel and other relevant stakeholders.,PER
130,"Appropriate access to official information is enabled, including controlling access (including remote access) to supporting technology systems, networks, infrastructure, devices and applications.",PER
131,Access to security classified information or resources is only given to entity personnel with a need-to-know that information.,PER
132,Personnel requiring ongoing access to security classified information or resources are security cleared to the appropriate level.,PER
133,Personnel requiring access to caveated information meet any clearance and suitability requirements imposed by the originator and caveat controlling authority.,PER
134,"A unique user identification, authentication and authorisation practice is implemented on each occasion where system access is granted, to manage access to systems holding security classified information.",PER
135,A security risk assessment of the proposed location and work environment informs decisions by the Chief Security Officer to allow personnel to work in another government entity’s facilities in Australia.,PER
136,An agreement is in place to manage the security risks associated with personnel working in another government entity’s facilities in Australia.,PER
137,"Approval for remote access to TOP SECRET information, data or systems in international locations outside of facilities meeting PSPF requirements is only granted if approved by the Australian Signals Directorate.",PER
138,A security risk assessment of the proposed location and work environment informs decisions to allow personnel to work remotely in international locations.,PER
139,"Personnel are not granted approval to work remotely in locations where Australian Government information, or resources are exposed to extrajudicial directions from a foreign government that conflict with Australian law, unless operationally required, and the residual risks are managed and approved by the Chief Security Officer.",PER
140,"The Australian Government Security Vetting Agency (AGSVA) or the TOP SECRET-Privileged Access Vetting Authority is used to conduct security vetting, or where authorised, the entity conducts security vetting in a manner consistent with the Personnel Security Vetting Process and Australian Government Personnel Security Adjudicative Standard.",PER
141,All vetting personnel attain and maintain the required skills and competencies for their role.,PER
142,The gaining sponsoring entity establishes new clearance conditions before assuming sponsorship of an existing security clearance that is subject to clearance conditions.,PER
143,The gaining sponsoring entity undertakes the exceptional business requirement and risk assessment provisions prior to requesting transfer of sponsorship of an existing security clearance that is subject to an eligibility waiver.,PER
144,The Authorised Vetting Agency only issues a security clearance where the clearance is sponsored by an Australian Government entity or otherwise authorised by the Australian Government.,PER
145,Positions that require a security clearance are identified and the level of clearance required is documented.,PER
146,Each person working in an identified position has a valid security clearance issued by the relevant Authorised Vetting Agency.,PER
147,Australian citizenship is confirmed and pre-employment screening is completed before the entity seeks a security clearance for a person in a position identified as requiring a security clearance.,PER
218,"The Sponsoring Entity ensures clearance subjects with an eligibility waiver or where a waiver is being considered, are not given temporary or provisional access to security classified information or resources until the security vetting process is complete.",PER
148,The Sponsoring Entity establishes an exceptional business need and conducts a risk assessment before a citizenship eligibility waiver is considered for a non-Australian citizen who has a valid visa and work rights to work in an identified position.,PER
149,"The Accountable Authority (or the Chief Security Officer if delegated) approves a citizenship eligibility waiver (after accepting the residual risk of waiving the citizenship requirement for that person, confirming that a checkable background eligibility waiver is not in place), and maintains a record of all citizenship eligibility waivers approved.",PER
150,"The Sponsoring Entity establishes an exceptional business need and conducts a risk assessment (including seeking advice from the Authorised Vetting Agency), before a checkable background eligibility waiver is considered for a clearance subject assessed as having an uncheckable background.",PER
151,"The Sponsoring Entity’s Accountable Authority (or the Chief Security Officer if delegated) approves checkable background eligibility waivers (after accepting the residual risk of waiving the checkable background requirement for each person and confirming that a citizenship eligibility waiver is not in place), and maintains a record of all checkable background eligibility waivers approved.",PER
152,The Authorised Vetting Agency provides the Sponsoring Entity with information to inform a risk assessment if a clearance subject has an uncheckable background and only issues a clearance if the Accountable Authority waives the checkable background requirement and provides the Authorised Vetting Agency with a copy of the waiver.,PER
153,"The clearance subject’s informed consent is given to collect, use and disclose their personal information for the purposes of assessing and managing their eligibility and suitability to hold a security clearance.",PER
154,"The clearance subject’s eligibility and suitability to hold a Baseline, Negative Vetting 1, Negative Vetting 2 or Positive Vetting security clearance is assessed by considering their integrity (i.e. the character traits of maturity, trustworthiness, honesty, resilience, tolerance and loyalty) in accordance with the Australian Government Personnel Security Adjudicative Standard.",PER
155,The clearance subject’s eligibility and suitability to hold a TOP SECRET-Privileged Access security clearance is assessed in accordance with the TOP SECRET-Privileged Access Standard.,PER
156,"The clearance subject’s eligibility and suitability to hold a Baseline, Negative Vetting 1, Negative Vetting 2 or Positive Vetting security clearance is assessed by conducting the minimum personnel security checks for the commensurate security clearance level.",PER
157,"The clearance subject’s eligibility and suitability to hold a Baseline, Negative Vetting 1, Negative Vetting 2 or Positive Vetting security clearance is assessed by resolving any doubt in the national interest.",PER
158,"Concerns that are identified during the vetting or security clearance suitability assessment process, that are not sufficient to deny a security clearance and where the related risks can be managed through conditions attached to the security clearance, the Authorised Vetting Agency must:
• identify the clearance conditions 
• provide the sponsoring entity with information about the concerns to inform a risk assessment
• only issue a conditional security clearance if the Accountable Authority and the clearance subject accept the clearance conditions. The Accountable Authority may delegate this decision to the Chief Security Officer, however the Chief Security Officer is required to notify the Accountable Authority of the clearance conditions.",PER
159,"The Authorised Vetting Agency provides the sponsoring entity any relevant information of concern, when advising them of the outcome of the security vetting process, to inform the sponsoring entity’s risk assessment.",PER
160,"The Authorised Vetting Agency applies the rules of procedural fairness to security clearance decisions that are adverse to a clearance subject, including decisions to deny a security clearance (including grant lower level) or grant a conditional security clearance, without compromising the national interest.
Note: Separate arrangements ensure procedural fairness and national security are preserved where denial of a clearance is based on an ASIO security clearance suitability assessment.",PER
161,The Authorised Vetting Agency reviews the conditions of conditional security clearances annually.,PER
162,"The Authorised Vetting Agency reviews the clearance holder’s eligibility and suitability to hold a security clearance, where concerns are identified (review for cause).",PER
163,The Authorised TOP SECRET-Privileged Access Vetting Agency implements the TOP SECRET-Privileged Access Standard in relation to the ongoing assessment and management of personnel with TOP SECRET-Privileged Access security clearances.,PER
164,"The Sponsoring Entity actively assesses, monitors and manages the ongoing suitability of personnel.",PER
165,The Sponsoring Entity monitors and manages compliance with any conditional security clearance requirements and reports any non-compliance to the Authorised Vetting Agency.,PER
166,The Sponsoring Entity monitors and manages compliance with security clearance maintenance obligations for the clearance holders they sponsor.,PER
167,"The Sponsoring Entity shares relevant information of concern, where appropriate.",PER
168,The Sponsoring Entity conducts an annual security check with all security cleared personnel.,PER
169,"The Sponsoring Entity reviews eligibility waivers at least annually, before revalidation of a security clearance, and prior to any proposed position transfer.",PER
170,"The Sponsoring Entity monitors, assesses and manages personnel with TOP SECRET-Privileged access security clearances in accordance with the TOP SECRET-Privileged Access Standard.",PER
171,The Authorised Vetting Agency reassesses a clearance holder’s eligibility and suitability to hold a security clearance by revalidating minimum personnel security checks for a security clearance.,PER
172,"The Authorised Vetting Agency reassesses a clearance holder’s eligibility and suitability to hold a Baseline, Negative Vetting 1, Negative Vetting 2 or Positive Vetting security clearance by considering their integrity in accordance with the Australian Government Personnel Security Adjudicative Standard.",PER
173,The TOP SECRET-Privileged Access Vetting Authority reassesses a clearance holder’s eligibility and suitability to hold a TOP SECRET-Privileged Access security clearance by assessing their trustworthiness in accordance with the TOP SECRET-Privileged Access Standard.,PER
174,The Authorised Vetting Agency reassesses a clearance holder’s eligibility and suitability to hold a security clearance by resolving any doubt in the national interest.,PER
175,The Authorised Vetting Agency commences the security clearance revalidation process in sufficient time to complete the revalidation before the due date so that the security clearance does not lapse.,PER
176,"The Authorised Vetting Agency shares information of concern about security clearance holders with the Sponsoring Entity so they can decide whether to suspend or limit the clearance holder’s access to Australian Government classified information, resources or activities until the concerns are resolved.",PER
177,"The Sponsoring Entity shares relevant information of security concern, where appropriate with the Authorised Vetting Agency.",PER
178,The Authorised Vetting Agency shares information of security concern about security clearance holders with the Sponsoring Entity.,PER
179,"The Authorised Vetting Agency assesses and responds to information of security concern about security clearance holders, including reports from Sponsoring Entities.",PER
180,Negative Vetting 2 and higher clearance holders receive appropriate departmental travel briefings when undertaking international personal and work travel.,PER
181,"The Chief Security Officer, Chief Information Security Officer (or other relevant security practitioner) is advised prior to separation or transfer of any proposed cessation of employment resulting from misconduct or other adverse reasons.",PER
182,Separating personnel are informed of any ongoing security obligations under the Commonwealth Criminal Code and other relevant legislation and those holding a security clearance or access security classified information are debriefed prior to separation from the entity.,PER
183,"Separating personnel transferring to another Australian Government entity, the entity, when requested, provides the receiving entity with relevant security information, including the outcome of pre-employment screening checks and any periodic employment suitability checks.",PER
184,"Separating personnel transferring to another Australian Government entity, the entity reports any security concerns (as defined in the Australian Security Intelligence Organisation Act 1979) to the Australian Security Intelligence Organisation.",PER
185,A risk assessment is completed to identify any security implications in situations where it is not possible to undertake the required separation procedures.,PER
186,"Separating personnel have their access to Australian Government resources withdrawn upon separation or transfer from the entity, including information, technology systems, and resources.",PER
187,"The Sponsoring Entity advises the relevant Authorised Vetting Agency of the separation of a clearance holder, including any relevant circumstances (e.g. termination for cause) and any details, if known, of another entity or contracted service provider the clearance holder is transferring to, along with any identified risks or security concerns associated with the separation.",PER
188,"The Authorised Vetting Agency manages and records changes in the security clearance status of separating personnel, including a change of Sponsoring Entity, and transfer personal security files where a clearance subject transfers to an entity covered by a different Authorised Vetting Agency, to the extent that their enabling legislation allows.",PER
189,"Protective security is integrated in the process of planning, selecting, designing and modifying entity facilities for the protection of people, information and resources.",PHYS
190,"A facility security plan is developed for new facilities, facilities under construction or major refurbishments of existing facilities.",PHYS
191,Decisions on entity facility locations are informed by considering the site selection factors for Australian Government facilities.,PHYS
192,"When designing or modifying facilities, the entity secures and controls access to facilities to meet the highest risk level to entity resources in accordance with Security Zone restricted access definitions.",PHYS
193,"Facilities are constructed in accordance the applicable ASIO Technical Notes to protect against the highest risk level in accordance with the entity security risk assessment in areas:
• accessed by the public and authorised personnel, and
• where physical resources and technical assets, other than security classified resources and technology, are stored.",PHYS
194,"Facilities for Security Zones Two to Five that process, store or communicate security classified information and resources are constructed in accordance with the applicable sections of ASIO Technical Note 1/15 – Physical Security Zones, and ASIO Technical Note 5/12 – Physical Security Zones (TOP SECRET) areas.",PHYS
195,Entity facilities are operated and maintained in accordance with Security Zones and Physical Security Measures and Controls.,PHYS
196,Security Zones One to Four are certified by the Certification Authority in accordance with the PSPF and applicable ASIO Technical Notes before they are used operationally.,PHYS
197,"Security Zone Five areas that contain TOP SECRET security classified information or aggregated information where the compromise of confidentiality, loss of integrity or unavailability of that information may have a catastrophic business impact level, are certified by ASIO-T4 before they are used operationally.",PHYS
198,"Security Zones One to Five are accredited by the Accreditation Authority before they are used operationally, on the basis that the required security controls are certified and the entity determines and accepts the residual risks.",PHYS
199,Sensitive Compartmented Information Facility areas used to secure and access TOP SECRET systems and security classified compartmented information are accredited by the Australian Signals Directorate before they are used operationally.,PHYS
200,"Physical security measures are implemented to minimise or remove the risk of information and physical asset resources being made inoperable or inaccessible, or being accessed, used or removed without appropriate authorisation.",PHYS
201,"Physical security measures are implemented to protect entity resources, commensurate with the assessed business impact level of their compromise, loss or damage.",PHYS
202,Physical security measures are implemented to minimise or remove the risk of harm to people.,PHYS
203,"The appropriate container, safe, vault, cabinet, secure room or strong rooms is used to protect entity information and resources based on the applicable Security Zone and business impact level of the compromise, loss or damage to information or physical resources.",PHYS
204,"Perimeter doors and hardware in areas that process, store or communicate security classified information or resources are constructed and secured in accordance with the physical security measures and controls for perimeter doors and hardware.",PHYS
205,"Access by authorised personnel, vehicles and equipment to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for authorised personnel.",PHYS
206,Access by visitors to Security Zones One to Five is controlled in accordance with the physical security measures and controls for access control for visitors.,PHYS
207,"The Accountable Authority or Chief Security Officer approves ongoing (or regular) access to entity facilities for people who are not directly engaged by the entity or covered by the terms of a contract or agreement, on the basis that the person:
• has the required security clearance level for the Security Zone/s, and
• a business need supported by a business case and security risk assessment, which is reassessed at least every two years. ",PHYS
208,Unauthorised access to Security Zones One to Five is controlled in accordance with the physical security measures and controls for security alarm systems.,PHYS
209,Security guard arrangements in Security Zones One to Five are established in accordance with the physical security measures and controls for security guards.,PHYS
210,Technical surveillance countermeasures for Security Zones One to Five are established in accordance with the physical security measures and controls for technical surveillance countermeasures.,PHYS